Position_X,Position_Y,Position_Z,Time
-1108.192,33.1492,407.7392,665506.734
-996.1142,10.5292,478.85,665519.3742
-990.0741,7.7014,443.2052,665521.7514
-975.8631,5.7931,478.8541,665525.2102
-956.9931,1.4841,474.7766,665527.342
-936.0214,-3.2144,477.5861,665531.1163
-913.579,-7.1704,482.9694,665535.1312
-894.6842,-11.557,480.232,665539.0652
-872.2961,-15.1933,487.9223,665542.9874
-856.0909,-20.4914,474.5897,665546.9776
-834.9348,-24.8093,478.1714,665550.8415
-822.942,-31.4006,451.6081,665554.898
-800.1729,-34.8041,459.1147,665558.8051
-778.001,-38.2643,468.9842,665562.6736
-757.7979,-42.1354,470.589,665566.7188
-739.5666,-46.4479,463.5867,665570.6238
-720.7589,-51.0223,461.319,665574.5427
-701.0293,-55.2305,462.1978,665578.5372
-683.1253,-59.5085,455.4358,665582.4578
-665.0438,-63.8335,448.9828,665586.3848
-644.024,-68.2008,453.8917,665590.4525
-624.9122,-72.4407,451.2181,665594.3092
-606.6525,-76.7515,444.7597,665598.26
-587.1203,-81.0816,443.5507,665602.3248
-568.3304,-85.1856,440.0979,665606.2604
-550.1737,-89.7269,433.9992,665610.2223
-530.7803,-93.8847,430.7355,665614.1664
-511.9936,-97.9067,430.3202,665618.0282
-494.0433,-102.1714,423.2498,665622.0212
-475.4587,-106.7453,417.5012,665626.0628
-456.8572,-111.0219,412.4806,665629.9354
-438.5902,-115.4159,406.3318,665634.0022
-420.6593,-119.4631,402.5691,665637.8762
-402.6632,-123.742,399.2903,665641.79
-384.3844,-128.1183,390.8678,665645.746
-366.2237,-132.2313,390.7572,665649.6224
-348.5813,-136.2379,385.5995,665653.5381
-330.3208,-140.7208,374.735,665657.5655
-312.6761,-144.3083,375.442,665661.4234
-293.9661,-148.5618,367.7624,665665.3902
-277.3622,-152.7489,359.1347,665669.4147
-259.3578,-156.6583,357.4837,665673.4114
-241.4791,-160.8742,347.3977,665677.2724
-223.831,-164.8571,344.7074,665681.3588
-205.7523,-169.1243,336.8823,665685.1606
-189.0249,-173.0772,330.5676,665689.3662
-169.5775,-177.7887,320.8203,665693.4484
-153.461,-181.3933,315.3036,665697.0376
-135.7093,-185.8984,307.676,665701.0855
-119.3957,-189.7592,297.9237,665704.9636
-102.2741,-193.6724,294.2923,665709.0866
-83.9147,-198.3801,283.9276,665712.9448
-67.4566,-202.306,277.1976,665716.8554
-50.5484,-206.397,267.8855,665720.809
-33.7674,-210.2332,261.2818,665724.8188
-18.4419,-213.2967,257.6675,665728.6801
0.6023,-217.5313,244.9892,665732.5752
17.315,-222.0605,235.1097,665736.5684
33.4785,-225.8882,224.5892,665740.5617
50.1219,-229.6666,218.1953,665744.3542
65.9574,-233.0898,213.0379,665748.4562
84.5994,-238.0849,197.6394,665752.25
98.6207,-240.6635,196.4348,665756.3328
117.1631,-245.8898,178.4393,665760.2934
134.0577,-249.8536,168.6416,665764.0707
149.4011,-253.7727,159.6438,665768.114
166.59,-257.8099,149.6185,665772.2066
182.5979,-261.9726,137.9071,665775.9702
196.379,-264.677,135.9303,665779.9566
212.5051,-269.1157,123.7279,665783.9517
229.4788,-273.3413,109.7753,665787.7172
244.9349,-276.9569,100.0272,665791.7912
260.2485,-280.3266,92.091,665795.6681
276.3325,-284.1274,81.5123,665799.6512
291.4965,-287.7597,69.1369,665803.5621
307.9018,-291.8083,56.5758,665807.7081
323.4123,-295.5155,48.1465,665811.3799
340.2375,-300.0436,31.1908,665815.493
355.7694,-303.3506,23.6935,665819.3382
370.0697,-306.1001,17.8626,665823.4146
382.8769,-309.9599,20.2043,665827.3826
394.8685,-312.4464,29.7948,665831.201
404.6675,-314.1703,46.3116,665835.0822
417.1083,-317.1056,55.2033,665839.286
428.6967,-319.4756,67.3809,665842.984
440.0538,-321.9206,78.6516,665847.017
452.8226,-324.9196,85.1735,665850.9618
464.3112,-327.6463,95.881,665854.8033
476.6226,-330.3611,103.59,665858.9517
488.2198,-332.8711,113.7816,665862.8478
498.9126,-335.1542,124.1694,665866.6382
511.1763,-338.1511,130.6981,665870.6529
522.257,-340.4347,141.6896,665874.6512
533.4273,-342.7616,151.9799,665878.5346
545.0683,-345.2586,160.403,665882.4838
556.8417,-348.0643,167.0075,665886.447
568.2591,-350.7951,175.3731,665890.3225
580.6369,-353.463,181.9071,665894.5396
591.0001,-355.7572,192.6246,665898.5105
603.3069,-358.507,197.8354,665902.2296
613.7909,-360.6902,207.6661,665906.5306
624.3327,-363.2678,215.924,665910.1866
