Position_X,Position_Y,Position_Z,Time
-1185.419,243.7694,439.9287,853421.5076
-1146.5598,241.4331,477.1929,853423.5702
-1129.8676,244.4795,479.2804,853427.0488
-1130.9228,258.8656,412.4502,853430.6569
-1111.789,262.0007,416.6794,853434.6044
-1093.6947,266.4917,411.0649,853438.2892
-1078.8825,270.8811,401.5119,853442.2194
-1062.4557,275.057,391.9792,853446.3666
-1027.9152,272.4247,425.5906,853450.449
-1009.9647,276.3769,420.283,853454.3394
-1008.6497,287.6615,373.8795,853458.2416
-993.3108,291.8209,364.3349,853461.9544
-964.7974,289.7484,386.5835,853466.1155
-959.9221,299.989,346.6707,853469.8978
-940.4471,303.6978,343.7381,853473.988
-923.438,307.6237,336.0065,853477.7264
-907.16,311.2058,328.3294,853481.5982
-892.0553,314.865,317.8868,853485.62
-876.08,319.1392,306.4027,853489.673
-856.7143,322.4186,303.0303,853493.4209
-843.8157,326.5798,288.5319,853497.4204
-825.4957,330.0789,282.658,853501.448
-809.7406,333.5394,273.3261,853505.4845
-793.5946,336.8771,263.7003,853509.243
-775.7972,340.449,257.0395,853513.4381
-761.2907,344.0639,245.1487,853517.3212
-743.4938,347.2026,238.2553,853521.0842
-728.0617,350.462,227.7059,853525.2236
-714.3114,354.1678,212.6597,853528.929
-694.9295,356.5861,211.5108,853533.02
-678.1304,359.2178,204.9192,853537.1803
-664.5669,363.9436,186.7636,853540.8922
-647.5652,366.2804,180.3067,853544.8366
-634.4824,370.2679,159.8917,853548.7063
-616.5269,372.181,159.3267,853552.6425
-601.7592,375.3784,147.1017,853556.7312
-586.1264,378.4992,134.8379,853560.471
-569.7762,381.2034,125.8675,853564.5981
-554.1114,383.1866,118.2642,853568.6162
-535,381.805,127.1869,853572.4638
-522.9514,389.3608,95.5317,853576.4682
-506.9868,391.9191,86.0728,853580.3782
-491.8328,395.2521,70.6875,853584.1624
-477.2748,397.591,56.553,853588.19
-459.3872,395.6982,70.4246,853592.3825
-447.3641,403.1647,36.3098,853596.034
-430.4787,404.955,29.164,853600.0168
-416.6968,407.5865,14.8883,853604.0924
-405.9485,406.2288,21.5209,853607.9126
-395.4268,405.4719,35.5671,853611.8262
-384.153,403.7609,55.1524,853615.7586
-372.8788,402.178,65.4095,853619.7544
-363.345,401.7843,68.5008,853623.7726
-351.9195,400.8407,77.6625,853627.5384
-342.124,399.7836,81.7811,853631.6034
-331.0061,397.9574,100.8356,853635.6601
-320.2385,395.7303,123.4909,853639.4472
-310.5238,395.9646,118.0504,853643.354
-300.342,394.7882,127.6657,853647.438
-290.0212,393.3888,135.7036,853651.2792
-279.7803,392.4907,142.208,853655.2138
-268.9075,391.1779,151.2959,853659.3091
-258.6609,389.0199,171.7993,853663.071
-249.2923,388.8485,169.1089,853667.1258
-239.5034,387.2276,178.8149,853671.0309
-229.1833,385.803,187.9015,853674.9874
-217.912,384.6572,191.1044,853678.8656
-207.8367,382.799,204.7692,853683.0622
-197.7752,381.2816,218.8135,853686.969
-187.714,380.3125,221.2079,853690.7673
-178.4348,379.2499,225.0268,853694.7152
-167.7214,377.7438,231.1238,853698.6241
-157.1771,376.5309,234.854,853702.6457
-147.3798,374.9503,243.3024,853706.5428
-138.4173,372.741,260.4755,853710.4279
-127.8808,371.9302,261.9926,853714.586
-117.428,370.4922,264.9175,853718.3918
-107.7492,369.4305,269.0543,853722.3292
-97.3164,367.3794,276.3546,853726.2934
-88.0439,366.1435,279.4643,853731.3951
-79.4609,364.1618,289.9258,853734.2278
-67.9838,362.6794,298.1297,853738.0988
-58.5157,361.1073,302.2876,853742.0229
-48.4619,359.3417,307.1983,853746.002
-38.5561,357.6432,311.5394,853749.9486
-28.3989,355.6697,318.6942,853753.8752
-19.0138,355.1581,317.9714,853757.9966
0.4192,351.3491,331.2236,853765.7082
8.9397,349.8871,333.8018,853770.0798
19.2617,348.257,337.6335,853773.7822
29.4768,346.9316,337.7011,853777.5512
39.2009,344.9075,344.0392,853781.7346
48.22,343.1274,355.8776,853785.7032
57.7394,341.6141,353.2484,853789.4428
67.5436,339.3466,358.8585,853793.4091
78.326,338.2021,357.406,853797.2662
87.1114,336.1299,359.4433,853801.3212
96.258,334.1641,367.5397,853805.2397
106.0104,333.4737,369.2566,853809.1301
115.6315,331.2406,372.5185,853813.0468
