Position_X,Position_Y,Position_Z,Time
-1294.9695,-320.9436,201.4557,612070.6376
-1224.816,-317.5688,168.1724,612082.8611
-1173.4107,-313.4096,157.6599,612087.2572
-1148.8246,-311.6346,149.3332,612092.7748
-1123.3568,-309.705,144.2383,612096.8528
-1100.5867,-309.3287,130.0323,612100.585
-1076.1959,-307.3952,125.9309,612104.5669
-1054.9371,-306.5476,112.5313,612108.6607
-1032.8701,-304.8625,102.2436,612112.7411
-1010.9015,-304.4505,87.3488,612116.5096
-984.6507,-302.9737,88.1681,612120.4526
-964.053,-303.1511,70.2344,612124.3446
-941.755,-302.3352,59.1758,612128.5854
-916.0462,-299.7629,60.4795,612132.4026
-896.6412,-299.9797,39.6771,612136.1246
-872.7345,-298.6461,32.4424,612140.2484
-856.8996,-298.3042,27.857,612144.1616
-840.2061,-298.5153,32.7026,612147.9818
-823.361,-297.9896,41.6146,612152.017
-806.4491,-297.5795,51.2579,612155.8912
-789.4989,-296.8521,61.5464,612159.9448
-773.4783,-296.5401,69.5355,612163.9508
-757.4784,-295.8989,75.983,612167.759
-740.6684,-294.8773,87.2328,612171.7314
-722.2054,-293.6768,99.129,612175.907
-707.5109,-294.1069,102.255,612179.6294
-690.0924,-293.2343,114.4055,612183.6892
-673.9279,-293.6778,117.4847,612187.5986
-657.6835,-293.2463,125.215,612191.593
-642.4209,-292.7945,132.6174,612195.3766
-625.6774,-292.2914,139.8389,612199.4252
-610.1455,-292.1151,145.4404,612203.2682
-593.8193,-291.5547,151.4358,612207.6048
-576.5317,-291.0482,159.2524,612211.4202
-560.3102,-290.867,165.5178,612215.1112
-544.8116,-290.3658,173.1367,612219.1936
-529.1014,-290.1307,177.6321,612223.111
-513.2609,-289.7816,183.5135,612227.1318
-497.2264,-289.2636,191.4385,612231.0001
-480.7925,-288.9221,197.3289,612234.8581
-465.4894,-288.7476,201.1273,612238.7695
-448.6017,-288.5252,205.6932,612242.8954
-432.9106,-288.3301,211.5371,612246.6524
-418.4688,-288.7817,211.8119,612250.7568
-402.0691,-288.4556,217.751,612254.687
-387.6005,-288.1871,219.576,612258.598
-371.4121,-287.3319,228.9246,612262.5614
-355.4608,-288.0818,227.1544,612266.6182
-339.8236,-287.9088,231.5398,612270.3379
-324.1163,-287.5175,238.1046,612274.411
-308.6408,-287.3273,242.2788,612278.4977
-294.019,-287.3237,245.8692,612282.219
-278.7152,-287.232,248.8908,612286.1996
-263.5567,-287.3688,249.2117,612290.1702
-247.3837,-286.1818,258.5163,612294.0924
-232.3336,-286.421,257.6505,612298.04
-217.254,-287.0377,258.7363,612301.9799
-202.151,-286.7597,264.0306,612305.8622
-187.1348,-286.978,263.464,612309.9822
-172.1184,-287.1424,263.5535,612313.7368
-157.1989,-286.1432,271.8635,612317.7918
-142.2124,-286.3634,270.1144,612321.7748
-126.5963,-286.3148,273.6772,612325.7758
-111.6698,-286.4725,273.9095,612329.6638
-96.8002,-286.8537,275.3395,612333.6242
-82.6629,-286.6384,276.506,612337.4179
-66.9714,-286.8757,275.5326,612341.4376
-53.8564,-286.5299,280.7398,612345.4874
-37.3086,-286.9654,278.0046,612349.3366
-23.0162,-287.2038,276.0857,612353.2849
-9.3333,-286.1298,284.1052,612357.3999
5.9935,-287.6139,276.7776,612361.143
21.7572,-287.9188,275.5503,612365.0811
35.7906,-287.9872,276.8841,612369.0314
49.8626,-287.9982,277.7137,612372.9862
63.219,-287.5831,279.6212,612377.0476
78.0681,-287.6441,278.6626,612380.9118
93.4226,-288.1519,275.0353,612385.701
107.9347,-288.5574,272.5101,612388.9246
122.1844,-288.7816,272.1201,612392.7325
136.281,-289.2274,268.6184,612396.6068
150.2853,-289.4087,269.1881,612400.6287
164.8599,-289.614,266.9914,612404.4967
178.892,-289.1263,268.308,612408.4722
192.3728,-289.6766,263.9533,612412.5056
206.1545,-289.1009,266.7388,612416.3326
221.3498,-289.7047,261.6123,612420.3322
235.3379,-289.9188,259.2561,612424.3198
249.1263,-290.677,254.2119,612428.1981
263.1291,-291.0459,252.175,612432.158
276.9893,-291.265,249.0501,612436.1588
289.8011,-291.4467,246.2429,612440.4882
306.0124,-292.2102,238.8002,612444.3518
319.5531,-291.953,240.1909,612448.0088
332.1952,-292.2202,236.4839,612451.9555
345.1488,-292.356,233.7929,612455.9
357.7712,-292.3788,232.6103,612459.8446
371.7815,-293.1549,224.9532,612463.7112
385.2176,-292.8879,224.6129,612467.7138
399.8647,-293.8536,215.4995,612471.6597
412.5664,-293.8621,213.3274,612475.6094
427.1762,-294.5878,206.3367,612479.5588
441.0012,-295.3203,200.0953,612483.459
454.9975,-295.9353,192.4555,612487.458
468.1922,-296.6456,187.1211,612491.3875
480.2664,-296.2623,185.6995,612495.3209
493.775,-296.7801,179.8982,612499.2392
507.0847,-297.021,175.0227,612503.368
520.8505,-297.851,166.944,612507.187
534.0941,-298.3442,162.0247,612511.1346
547.4406,-299.0004,155.2831,612515.1149
560.0488,-299.1506,150.9432,612518.9935
574.2503,-300.0812,140.3344,612522.9796
586.0826,-300.2635,136.6104,612526.9214
597.0073,-299.8792,137.4113,612530.7938
611.9843,-300.8438,124.0634,612534.8848
625.822,-301.4895,116.349,612538.8093
638.2923,-302.2046,110.0878,612542.8496
651.0656,-302.7636,103.5644,612546.8197
664.4449,-303.5523,93.7044,612550.6575
676.8999,-303.8694,86.1137,612554.6066
689.3889,-304.6215,78.909,612558.4744
702.1603,-305.2758,70.5976,612562.4156
714.6532,-305.193,65.3541,612566.4235
728.6959,-306.1913,54.0831,612570.4158
738.3097,-305.7854,53.5971,612574.2696
752.2087,-307.0988,41.0155,612578.3776
765.1043,-307.8154,30.4816,612582.2389
778.964,-308.526,18.6327,612586.0609
791.2984,-309.1669,12.1771,612590.138
804.7364,-308.7575,16.0958,612594.038
821.2744,-309.8234,17.0762,612597.911
834.0863,-309.873,27.1906,612601.9651
848.4235,-310.256,32.4255,612605.9298
860.4741,-310.3707,41.5707,612609.7723
872.9958,-310.1414,50.2161,612613.7584
890.4662,-311.6554,46.6268,612617.7445
901.1352,-310.6914,59.3473,612621.6155
914.6378,-310.5411,66.1897,612625.6067
930.369,-311.2153,68.8718,612629.6746
939.7736,-310.6774,83.9624,612633.4748
953.1391,-310.451,90.3351,612637.4655
965.5042,-310.8049,97.6281,612641.4625
986.6119,-313.7817,85.5344,612645.3696
990.2698,-310.9371,111.5412,612649.3554
1010.7647,-311.9192,103.8802,612653.2892
1037.138,-312.9375,114.6456,612663.2453
1057.9603,-315.1216,104.9978,612665.3719
1062.7123,-314.2343,126.9392,612669.0864
1078.5743,-315.4419,125.6266,612673.156
1090.4148,-314.5192,131.6386,612676.9287
1108.4369,-316.6602,127.4618,612680.9603
