Position_X,Position_Y,Position_Z,Time
-1300.7057,169.5643,147.6365,806430.8875
-1261.7719,181.1287,131.0522,806438.5785
-1217.6503,190.805,125.5397,806444.7691
-1198.4835,195.8915,115.5691,806450.1444
-1182.0484,201.8163,102.6839,806453.7203
-1164.5908,206.8686,89.473,806457.6024
-1123.0093,205.0804,137.3105,806461.5298
-1124.3823,216.6703,76.1618,806465.3942
-1108.3023,222.0266,64.5631,806469.4424
-1087.5972,226.3903,58.2209,806473.3355
-1071.5817,232.0576,43.3536,806477.3452
-1053.5316,236.5614,32.0546,806481.3209
-1031.8857,240.8207,31.9063,806485.1843
-1020.3502,244.8708,22.9323,806489.1532
-1005.9442,247.3001,29.5292,806493.2562
-990.3544,249.5481,39.8562,806497.0314
-975.155,251.6779,52.2765,806501.0119
-962.5921,253.8608,58.9679,806505.0798
-945.0491,255.3677,74.0972,806508.8697
-933.306,258.3059,76.0259,806512.8112
-920.0874,259.9156,85.8637,806516.923
-907.4683,262.3297,90.552,806521.0256
-893.1735,264.5464,97.7712,806524.8137
-878.4122,266.6962,105.9807,806528.5449
-864.0785,268.6436,115.8464,806532.5036
-851.4303,271.08,119.4397,806536.535
-835.5141,272.3188,132.6923,806540.5337
-822.4418,274.4645,138.0356,806544.3096
-812.5363,277.2678,135.2124,806548.3726
-795.0122,278.143,151.8074,806552.2482
-783.2837,280.8952,153.0522,806556.3226
-771.2546,282.9752,155.0328,806560.2519
-755.4545,284.1871,166.6008,806564.1082
-742.6035,285.5263,173.1967,806568.3046
-728.8182,287.7699,177.0184,806572.3174
-716.2208,289.7016,182.8288,806576.1875
-700.904,291.2639,190.3728,806580.0666
-688.3682,293.6333,192.258,806584.0289
-674.6422,294.8255,201.2571,806588.0634
-662.5855,296.5267,202.1134,806591.9168
-649.251,297.9117,209.2145,806595.7094
-635.7476,299.971,213.6494,806599.602
-623.6942,301.9575,214.9935,806603.6349
-609.2087,303.5513,220.9979,806607.5766
-595.2963,304.7188,228.5611,806611.3749
-583.6982,306.3913,228.0767,806615.4718
-569.155,307.6407,235.5891,806619.338
-557.6454,309.5595,235.4616,806623.3428
-543.6606,310.8226,241.2635,806627.276
-528.6942,311.7723,251.3953,806631.1624
-518.5853,313.875,247.0801,806635.119
-506.1469,315.5646,247.2551,806639.2618
-491.355,316.4796,254.6918,806642.9304
-480.2569,318.5023,251.7384,806646.9986
-465.3744,319.495,260.1147,806650.9162
-452.8813,319.9286,268.5415,806654.7641
-439.1374,321.6038,269.044,806658.9753
-427.1289,323.3374,267.724,806662.8488
-414.7312,324.1541,270.0358,806666.6672
-402.8425,326.1208,267.5345,806670.7072
-388.4386,326.9194,275.3497,806674.6876
-376.1041,327.8751,278.032,806678.5071
-363.5868,328.9773,278.815,806682.4614
-350.6361,330.4113,279.5533,806686.376
-339.0568,331.4323,279.1635,806690.3735
-326.1852,332.717,280.0938,806694.4114
-313.1588,333.7106,283.5973,806698.1694
-301.5633,334.6332,285.5082,806702.19
-289.0998,336.2285,284.2243,806706.2379
-275.5036,336.955,286.2805,806710.0235
-263.6309,338.2047,283.1518,806713.9926
-250.6525,338.042,290.2191,806717.9597
-239.6405,340.4455,281.6488,806721.8728
-227.2224,341.1499,283.9465,806725.9203
-214.0792,342.0357,285.0997,806729.8046
-201.3698,342.4074,285.2554,806733.7017
-189.5979,343.6386,283.133,806737.8112
-177.0341,344.7141,280.166,806741.7708
-164.6841,345.2162,283.9962,806745.5572
-153.4248,346.3193,281.6256,806749.4854
-140.7093,347.1195,282.9627,806753.5568
-127.8259,347.7193,282.419,806757.4362
-115.811,348.9817,276.0888,806761.4148
-104.579,349.2866,276.824,806765.3964
