Position_X,Position_Y,Position_Z,Time
-1195.0903,-194.6508,389.2192,701680.8396
-1137.8574,-195.5604,380.6922,701690.3494
-1078.4594,-195.0177,383.8164,701696.705
-1051.2567,-195.4154,380.6309,701701.0287
-1019.0242,-194.384,389.2058,701704.2232
-991.3031,-194.9928,386.4867,701708.2936
-961.3979,-194.404,391.9015,701712.1723
-934.85,-194.8604,387.5718,701715.9776
-906.6752,-194.9887,387.9959,701720.0194
-879.7569,-195.5478,384.0696,701723.9434
-850.7469,-195.1316,385.8285,701727.8694
-822.8337,-194.879,387.0201,701731.8044
-795.5841,-195.7567,381.5684,701735.751
-767.3376,-195.2713,382.4365,701739.748
-740.145,-195.8036,380.3749,701743.7084
-713.6924,-196.3148,375.2818,701747.6092
-685.2916,-196.3669,376.786,701751.73
-657.9399,-196.8428,375.9119,701755.6966
-630.8175,-197.063,371.338,701759.4432
-603.574,-197.7257,367.3271,701763.5056
-576.8155,-197.9923,366.4738,701767.5514
-550.3624,-198.4061,363.7461,701771.282
-523.7041,-198.847,360.5665,701775.3219
-497.0124,-199.3084,354.3897,701779.2955
-470.9473,-199.7679,353.4579,701783.3689
-443.9835,-200.041,354.0007,701787.357
-419.3979,-200.673,346.6437,701791.2564
-391.2436,-201.0998,344.4172,701795.04
-365.3725,-201.5751,340.7211,701799.1414
-338.815,-202.1322,335.5621,701803.0004
-314.4099,-202.719,329.3332,701806.8988
-288.8043,-202.9853,330.0654,701810.9576
-262.7559,-203.5855,324.0786,701814.8468
-237.4075,-205.1076,311.1904,701818.698
-210.9879,-204.7597,313.6403,701822.9812
-186.0522,-206.1153,306.2915,701826.7977
-160.2359,-206.4789,301.5871,701830.6466
-134.9981,-207.1568,294.1279,701834.5676
-109.9059,-206.9118,296.0181,701838.4734
-85.156,-208.2859,287.6713,701842.4612
-61.0814,-208.8939,281.5141,701846.5362
-36.0242,-209.7827,273.7416,701850.2432
13.5663,-211.5933,261.4396,701858.518
37.534,-212.2566,254.363,701862.7421
62.4434,-212.4748,247.0262,701865.9986
86.9252,-213.9617,238.1816,701870.061
110.8145,-214.1675,235.3808,701874.0014
134.6961,-215.6608,223.5187,701877.9224
157.6832,-215.2159,226.9889,701881.8916
183.2639,-216.7244,215.1144,701885.7282
207.8808,-217.9322,201.4192,701889.8398
231.0486,-218.4283,196.9602,701893.8258
254.3642,-219.1062,192.703,701897.5279
279.3851,-220.7551,180.2266,701901.6644
302.7107,-221.6118,169.6061,701905.5384
325.5571,-221.1379,169.9151,701909.549
347.1444,-222.6856,160.7033,701913.4418
371.0713,-223.6071,148.5035,701917.3928
393.8539,-224.91,140.9252,701921.2927
416.5307,-225.7711,134.6542,701925.4702
440.648,-227.068,119.9105,701929.095
463.2334,-227.6424,112.8896,701933.3086
485.7335,-228.4669,103.5503,701937.1481
507.719,-229.0861,94.922,701941.0086
530.6161,-230.1155,86.4817,701944.9978
551.9059,-230.9676,78.0827,701949.007
574.7018,-232.4043,67.7229,701952.7835
598.202,-233.2532,54.7696,701956.8425
620.0373,-234.3628,45.8741,701960.88
646.5281,-236.8695,22.5562,701964.6623
666.3531,-236.911,18.9091,701968.6431
685.2231,-237.3043,21.24,701972.6743
705.0651,-238.8751,24.7074,701976.5998
722.5732,-240.2536,35.5013,701980.5078
741.1203,-241.3005,40.8897,701984.3778
756.0399,-241.8151,57.0516,701988.5539
777.0028,-243.4742,56.0634,701992.4868
792.1339,-244.1576,71.6283,701996.277
808.7064,-244.1289,83.6111,702000.1532
818.9355,-244.4508,107.5971,702005.4582
843.1661,-246.0773,100.3107,702008.096
859.0375,-247.0167,111.7626,702012.012
879.1297,-248.7522,113.6796,702015.9874
899.6767,-250.882,113.7933,702019.885
916.0191,-251.6353,123.0344,702023.9016
930.9292,-252.1206,134.7624,702027.944
951.1031,-253.7631,136.8865,702031.7227
962.1321,-253.2573,156.255,702035.6754
983.6224,-255.0961,154.8235,702039.7718
