Position_X,Position_Y,Position_Z,Time
-1070.4676,-480.7258,509.5088,687512.4448
-1047.9113,-479.6977,508.6275,687517.1388
-1021.7537,-476.8976,514.421,687518.9457
-996.8727,-474.1217,518.4032,687525.6456
-973.1969,-472.0011,519.7985,687529.4039
-948.6425,-469.8612,522.8079,687533.3859
-925.1218,-468.1794,524.2546,687537.4112
-902.1441,-466.8924,522.5962,687541.2634
-876.483,-463.6981,529.2046,687545.2122
-853.6895,-461.6916,529.417,687549.2103
-830.7517,-460.3478,529.2892,687553.0924
-805.5407,-457.3545,534.891,687557.0444
-782.532,-455.5452,535.3861,687561.0724
-759.6894,-454.2515,533.1076,687564.8974
-736.0419,-451.6962,536.7111,687568.9411
-713.2297,-450.6566,533.4789,687572.9736
-690.3817,-448.4016,536.1445,687576.7925
-667.5204,-446.5067,535.7317,687580.6992
-645.0306,-445.6553,531.6593,687584.9367
-621.762,-443.3924,532.847,687588.6278
-599.2465,-441.6891,533.3392,687592.59
-577.5408,-440.8849,528.3127,687596.5244
-554.0226,-438.4087,530.7012,687600.4664
-532.2054,-437.1673,527.2721,687604.4185
-509.2467,-435.4247,525.8629,687608.4393
-486.5985,-433.7889,525.2361,687612.2776
-463.9243,-432.0132,523.2421,687616.2468
-442.0674,-430.6262,521.1752,687620.1578
-419.6441,-428.0579,521.9196,687624.1052
-398.9884,-427.457,516.7386,687628.1849
-375.6296,-424.692,518.4521,687632.0216
-355.4478,-424.929,508.7437,687636.0513
-331.891,-422.4662,509.1267,687639.9229
-310.2565,-419.7275,511.3602,687643.898
-289.1982,-419.5317,504.4027,687647.7864
-267.1517,-417.5253,501.2734,687651.7661
-245.5666,-414.8381,503.1348,687655.7398
-225.0653,-415.8685,488.6102,687659.6566
-202.7124,-412.7509,492.4795,687663.6586
-181.1216,-411.27,486.772,687667.5336
-160.1138,-410.0041,482.3789,687671.4759
-139.3432,-409.2465,475.1219,687675.478
-117.756,-407.4168,471.0978,687679.3609
-95.359,-406.7334,464.2881,687683.397
-73.5566,-408.9211,446.404,687687.36
-52.1722,-411.8351,424.2253,687691.3012
-32.8286,-400.7312,454.8733,687695.2836
-13.3243,-399.4317,448.8423,687699.1671
7.5699,-398.9186,441.0177,687703.0454
28.5561,-396.7753,438.4911,687707.0603
49.5224,-395.2075,433.6518,687710.9742
69.6854,-393.0774,430.3521,687714.8779
90.6369,-392.6853,419.0949,687718.8638
110.4595,-392.1695,409.162,687722.8474
131.8725,-390.4122,404.4187,687726.7362
151.513,-388.2517,401.3249,687730.7028
170.2344,-386.3066,399.6269,687734.6424
191.1905,-385.5863,388.5802,687738.6584
211.4319,-385.5102,375.3708,687742.5772
232.114,-383.3961,372.0163,687746.4956
251.3056,-381.241,369.2873,687750.5969
276.1177,-385.2774,340.6845,687754.4994
293.3205,-379.4603,348.4268,687758.3112
309.8395,-377.0619,346.4909,687762.2922
329.051,-375.5438,339.4877,687766.2632
349.3455,-374.8065,328.9877,687770.1876
367.7557,-373.3965,323.5595,687774.2051
387.2541,-372.007,314.6139,687778.1504
408.0055,-371.2807,302.7854,687781.9904
427.7546,-369.9464,294.1441,687785.97
446.8016,-369.0423,284.3272,687789.8996
465.2426,-367.5759,276.6495,687793.8246
485.7762,-367.4985,262.6442,687797.821
503.2626,-365.5105,258.1329,687801.7276
523.9316,-364.9967,244.0698,687805.7228
542.7667,-363.4405,236.9016,687809.6578
560.8829,-362.3339,227.7578,687813.5768
580.315,-361.8522,215.1203,687817.5352
599.201,-359.8616,208.8776,687821.4973
617.1736,-359.0645,196.7042,687825.403
635.6618,-358.105,186.7878,687829.3623
655.0957,-357.4087,173.345,687833.3513
673.7307,-355.8145,164.3551,687837.2569
690.9929,-354.7636,155.5834,687841.2224
708.3884,-353.4674,147.1611,687845.3207
729.7596,-353.7584,127.1004,687849.11
746.6154,-352.0877,119.8668,687853.0922
765.5934,-350.9955,107.7281,687857.1051
784.3366,-350.5192,93.7831,687861.0419
802.709,-350.0599,81.5897,687865.1092
822.7713,-349.5838,65.0061,687868.9435
838.63,-347.6195,59.1753,687872.9327
856.271,-346.8183,47.9177,687876.9196
874.0515,-346.1585,35.6877,687880.73
892.0071,-345.5037,22.4203,687884.6936
920.3705,-349.2836,-10.5883,687888.7588
928.3286,-345.8195,10.1498,687892.7208
940.6087,-343.7145,25.5181,687896.7492
953.5625,-343.1816,37.6845,687900.6666
970.2579,-343.6515,41.896,687904.5142
985.5434,-343.4489,49.4158,687908.547
996.0673,-341.8131,67.0617,687912.4736
1007.6427,-340.3439,82.913,687916.2746
1023.7083,-340.998,89.8472,687920.2793
1039.6589,-344.0656,95.8189,687924.4123
1055.7531,-345.0605,97.1551,687928.118
1065.709,-340.1391,115.2615,687932.0786
1080.9403,-339.6949,123.5658,687936.0999
1097.156,-339.033,128.7901,687940.1086
1107.1003,-338.477,144.1952,687943.933
1125.1488,-338.6331,146.4001,687947.9673
1131.5566,-336.6965,167.4935,687951.8199
