Position_X,Position_Y,Position_Z,Time
-1176.7309,26.0579,419.4774,820403.2224
-1146.114,27.1323,445.0016,820405.6682
-1148.5928,31.4691,379.0739,820411.2916
-1128.6259,31.4855,386.2602,820415.4282
-1107.8029,32.572,387.8955,820419.0364
-1088.8313,34.3749,382.4509,820423.1209
-1069.768,36.0788,378.9988,820427.0528
-1051.6298,36.5156,372.7053,820430.9186
-1032.926,37.8139,369.9793,820435.0196
-1015.4587,39.3988,362.9651,820439.2714
-993.5544,39.3269,370.1355,820443.0009
-975.3388,40.7617,367.8248,820446.89
-963.3026,42.4506,344.7297,820450.7169
-948.4656,43.4768,331.2105,820454.6872
-929.6136,44.513,327.7013,820458.7284
-914.6325,45.7358,318.2573,820462.4816
-897.5935,47.0786,312.3917,820466.4489
-878.3807,47.5143,305.5198,820470.6508
-863.589,48.4223,296.0354,820474.3024
-846.7828,49.2722,289.5061,820478.244
-828.3609,50.6681,284.2471,820482.4029
-811.9797,50.9661,277.0518,820486.1062
-796.1928,52.127,262.7819,820490.2512
-779.0327,52.6665,257.1028,820494.1486
-762.2156,53.2572,249.6674,820497.922
-745.6704,54.4469,243.6687,820501.9511
-729.7569,54.7298,230.0476,820506.2316
-711.4655,55.9643,230.1536,820509.7514
-697.7374,55.9287,209.4947,820513.7764
-679.8466,55.7724,208.5766,820517.8728
-662.6073,56.7495,204.5666,820521.7036
-648.0618,57.6937,187.1737,820525.7212
-632.1513,57.9475,178.2799,820529.589
-614.1536,57.6408,180.8378,820533.507
-599.3709,58.0737,158.9678,820537.6776
-584.2469,58.8267,153.5547,820541.3724
-568.2913,58.8501,139.2191,820545.3012
-551.9713,58.9841,133.0391,820549.3468
-536.0841,59.3492,123.4722,820553.3052
-519.4144,59.0473,111.3847,820557.2806
-503.8386,59.2159,105.063,820561.208
-488.2502,58.8945,106.0689,820565.393
-474.3943,59.5667,79.8182,820569.0459
-457.8409,59.7107,74.2193,820573.1048
-443.0054,59.6166,66.4924,820576.8787
-428.2158,59.0081,49.8583,820580.8346
-412.4574,59.5369,40.9611,820584.7915
-396.9272,59.3874,28.3073,820588.727
-382.3151,59.1343,21.5517,820592.691
-370.6693,56.6739,30.0061,820596.8302
-360.5381,53.9807,35.1641,820600.5374
-350.1625,51.5671,44.6237,820604.5656
-339.3561,48.7093,58.6981,820608.5914
-329.3919,46.4462,69.0892,820612.386
-318.0899,43.7859,75.581,820616.3556
-307.8602,40.9401,84.0403,820620.3445
-297.1802,38.2987,102.5385,820624.2678
-287.1247,35.8108,100.2248,820628.1969
-277.1895,33.4655,116.2611,820632.0986
-266.4002,30.5734,116.0088,820636.0992
-255.6238,28.0676,130.7158,820640.0638
-245.4174,25.368,142.4782,820643.9374
-235.0009,22.527,146.1374,820647.9232
-225.052,20.064,155.4283,820651.8773
-215.3739,18.1576,148.7058,820655.7847
-205.3039,15.6138,144.4069,820659.8204
-194.6093,13.4436,155.6063,820663.717
-184.1483,9.1569,185.2177,820667.6203
-174.4589,6.5508,192.1577,820671.6922
-164.272,3.6071,201.5371,820675.7305
-154.2568,0.8968,216.7563,820679.4784
-145.2018,-1.7549,231.8291,820683.5796
-134.4452,-4.511,231.6568,820687.7468
-124.2578,-5.9664,244.3486,820691.4586
-115.1217,-7.8143,266.8116,820695.3482
-104.0579,-12.9781,239.4461,820699.2859
-94.4467,-15.5663,247.4179,820703.1613
-84.4071,-18.5198,246.5846,820707.1689
-74.7117,-21.1743,254.2404,820711.1031
-64.3505,-24.5377,261.4088,820714.9888
-54.7252,-26.9385,265.2577,820718.9858
-45.7074,-29.6854,278.1157,820722.8779
-36.2179,-32.7005,280.4259,820726.9247
-25.8304,-35.6108,280.3092,820730.8176
-18.1324,-37.8431,296.1985,820734.7276
-6.0391,-40.8618,292.3319,820738.7862
2.9155,-44.3048,299.5598,820742.7228
12.8772,-47.1468,301.5371,820746.5708
22.2833,-50.3327,304.462,820750.5077
32.4069,-52.8507,306.5997,820754.6792
41.0667,-55.5607,316.4079,820758.6804
51.2766,-58.5226,317.8635,820762.44
60.2598,-61.7623,323.7909,820766.5694
69.9877,-64.5863,322.677,820770.4116
78.9516,-67.6505,330.2393,820774.3204
88.9414,-70.4934,331.5832,820778.3178
99.1786,-73.6721,329.6133,820782.1137
108.3025,-76.385,337.1462,820786.1711
117.9928,-79.4299,337.9622,820790.059
126.6728,-82.6092,342.7683,820794.1552
135.9337,-85.42,345.1989,820797.9193
145.8135,-88.9401,342.5879,820801.8335
154.5688,-91.1062,350.8808,820805.7634
163.7065,-93.9722,355.0898,820809.7716
174.4333,-97.6497,348.9479,820813.694
182.6886,-100.6661,356.3541,820817.5976
191.7594,-103.3815,357.8023,820821.6096
201.5098,-106.7492,355.9177,820825.5524
209.9828,-109.6873,358.4466,820829.5754
220.6259,-112.6934,355.1775,820833.4561
229.3242,-115.6756,358.5047,820837.5818
239.1388,-119.2757,355.864,820841.3333
248.4188,-122.4115,357.3302,820845.4461
257.0781,-125.4082,357.0487,820849.2857
266.8813,-128.4416,354.8023,820853.3522
274.1125,-131.0815,363.3939,820857.3024
284.7211,-133.9756,362.9281,820861.0754
294.1731,-137.3948,361.1816,820865.2718
300.562,-140.1948,364.1256,820869.085
308.9694,-143.3532,362.4061,820872.9044
318.408,-146.2453,361.8651,820877.246
327.581,-149.288,362.2892,820880.829
337.9392,-153.1343,354.9923,820884.8047
345.2649,-155.914,358.8574,820888.8392
354.5462,-158.9797,355.5709,820892.766
364.1733,-162.283,351.0524,820896.732
374.2578,-165.3391,347.6219,820900.711
382.0473,-167.7678,348.9917,820904.6016
391.2012,-171.4362,347.1739,820908.5748
399.5395,-174.5926,345.7677,820912.582
408.0404,-177.9427,343.3801,820916.4854
417.0304,-180.8775,339.4575,820920.4824
426.5402,-183.7813,335.2792,820924.4084
435.7299,-187.1559,331.3923,820928.3339
444.1528,-190.117,331.9769,820932.3056
452.9725,-193.6961,327.0201,820936.3732
460.8259,-196.7656,325.979,820940.2781
475.4041,-200.494,303.6236,820944.291
478.8087,-203.0427,316.5822,820948.2226
486.6538,-205.6132,317.2124,820952.004
496.4597,-209.3173,309.5196,820956.1416
504.2935,-212.2881,308.1291,820960.1948
512.1846,-215.6185,304.7292,820963.8858
522.3734,-218.9792,298.0705,820967.9438
530.1359,-221.819,294.8016,820971.8673
538.808,-224.937,290.255,820975.9583
548.795,-228.7322,281.7254,820979.9648
564.5494,-233.2074,256.4158,820983.6324
564.1421,-234.9414,276.5735,820987.7185
571.5726,-237.7737,274.601,820991.6054
579.8381,-240.5594,269.2102,820995.3542
588.4102,-243.631,263.4799,820999.3249
597.7464,-246.8005,257.0962,821003.4146
606.0576,-250.3412,251.6897,821007.3834
614.0973,-253.91,246.0975,821011.189
622.4814,-256.845,240.2947,821015.2004
631.2558,-260.3917,232.7133,821019.0367
640.2025,-263.6323,224.3102,821023.2366
646.8495,-265.7152,223.5032,821027.1122
656.6642,-269.8299,213.1503,821030.9126
663.4181,-272.6773,210.9904,821035.0104
671.7753,-275.9966,203.4019,821038.978
680.4109,-279.2295,194.3329,821042.6854
686.6628,-281.79,193.3013,821046.847
696.3785,-285.3949,181.2554,821050.6425
707.5543,-290.0603,167.5858,821054.6197
714.3353,-292.6145,163.0763,821058.7279
719.6708,-295.1786,161.6213,821062.4457
729.2376,-298.5526,150.836,821066.4844
738.6292,-302.4375,138.2678,821070.6304
742.0415,-304.2285,142.0505,821074.2847
750.8678,-306.7066,132.9713,821078.297
759.4309,-310.8906,122.7594,821082.3166
771.2001,-314.8471,104.5489,821086.0932
774.6954,-317.4051,105.7404,821090.2168
788.3496,-321.9834,83.3606,821094.0648
790.4385,-323.4113,89.5266,821097.9081
800.2103,-326.213,76.1448,821101.946
810.7757,-330.9124,60.5475,821105.9858
818.6931,-334.6282,50.0822,821109.7552
