Position_X,Position_Y,Position_Z,Time
-1267.718,-79.4047,263.8553,602587.5003
-1199.1389,-83.6138,240.0148,602600.6052
-1172.3916,-85.1691,241.7403,602605.0243
-1154.9139,-86.875,222.5325,602607.6022
-1127.0989,-88.2139,227.1001,602611.5221
-1103.2295,-89.1823,222.8312,602615.2814
-1081.9664,-90.7315,212.0583,602619.2403
-1059.594,-92.2512,205.0382,602623.2744
-1039.3296,-93.8277,192.1267,602627.2719
-1015.2859,-95.1666,188.4539,602631.1987
-992.104,-96.5326,184.7855,602635.0697
-969.9894,-98.2306,176.1425,602638.938
-949.4096,-99.8481,164.7571,602643.0702
-923.9578,-101.0073,167.1327,602646.9262
-903.8519,-102.9703,154.4434,602650.7923
-881.2234,-104.2878,148.2344,602654.8326
-860.1107,-105.734,140.0826,602658.7536
-840.2646,-107.6439,124.6999,602662.6872
-818.412,-108.73,117.8454,602666.6444
-796.8173,-110.4646,109.4243,602670.5248
-775.3465,-111.8899,103.0704,602674.518
-755.0656,-113.6045,89.5389,602678.6396
-733.9218,-115.2848,82.5611,602682.3553
-711.6926,-116.8223,76.6131,602686.3476
-692.9204,-118.7115,57.1709,602690.4302
-671.1549,-119.9413,55.4293,602694.2405
-651.2422,-121.8602,40.3689,602698.1504
-630.9857,-123.9964,26.7601,602702.1077
-609.1007,-124.5521,28.3437,602706.0772
-593.1723,-127.2806,12.8665,602710.0923
-576.9948,-129.018,23.9853,602713.9309
-561.7239,-131.2131,38.5586,602717.881
-546.5426,-133.1017,43.7512,602721.9288
-530.9594,-134.855,51.6583,602725.854
-515.7638,-136.7372,59.4599,602729.7547
-501.0974,-138.384,70.2375,602733.8143
-484.9798,-140.2877,80.5366,602737.6549
-469.5844,-142.5834,86.0027,602741.581
-455.128,-144.7638,92.1431,602745.5704
-439.5857,-146.8787,100.5985,602749.4018
-423.8348,-148.336,110.4524,602753.4656
-409.3191,-149.9464,118.734,602757.4844
-380.7501,-154.6116,104.9326,602762.4012
-378.6899,-154.0482,129.5821,602765.3492
-365.2558,-155.7615,137.9151,602769.3186
-348.9493,-158.7057,144.8136,602773.1606
-334.3534,-160.3945,153.5482,602777.198
-319.1841,-161.8814,163.9296,602781.1517
-304.9445,-163.5846,165.6612,602785.1253
-289.0026,-165.9855,171.0683,602789.1096
-274.229,-168.2704,173.3365,602792.8874
-259.0789,-169.8328,184.1159,602796.8422
-245.2818,-172.9873,185.2028,602800.8426
-230.5384,-175.0299,191.7414,602804.7478
-216.6394,-176.1304,199.5271,602808.6446
-201.1419,-177.7951,207.185,602812.6924
-187.2854,-179.2334,215.1586,602816.5453
-171.6773,-182.2705,213.4012,602820.4544
-158.2544,-183.8207,220.7379,602824.5361
-143.2217,-186.7948,221.461,602828.396
-129.0988,-188.8328,231.534,602832.307
-115.0501,-190.128,233.8423,602836.3088
-99.8326,-192.6044,230.2181,602840.2194
-85.7746,-193.9458,239.0179,602844.1706
-71.4636,-196.3542,240.2852,602848.1362
-55.6355,-198.7953,241.1981,602852.0356
-41.984,-201.3613,244.3189,602855.9877
-28.6627,-203.279,250.1901,602860.1895
-15.9981,-204.5245,256.7231,602863.8959
1.3281,-206.4238,256.0812,602867.8586
12.9882,-208.0318,260.0439,602871.8372
27.7999,-210.2561,261.8884,602875.8276
42.9245,-212.7815,260.4282,602879.7886
56.9107,-215.1066,262.7101,602883.695
69.2061,-217.2314,270.5906,602887.5462
82.9474,-218.7626,272.0846,602891.623
97.1674,-220.7195,269.9865,602895.505
109.8453,-222.2194,275.5849,602899.517
126.1632,-225.1804,270.8278,602903.4518
139.3301,-226.9226,272.6773,602907.3977
153.2021,-229.2442,274.6174,602911.346
166.8918,-232.0841,274.0836,602915.2314
178.7798,-233.2451,278.619,602919.13
193.0874,-234.8558,278.5181,602923.154
208.1786,-237.8087,275.7625,602927.0916
221.8984,-239.9294,274.1676,602930.9768
233.7275,-241.5017,277.4779,602935.0918
248.5522,-243.9669,275.3162,602938.9554
262.4164,-247.0572,273.1689,602942.8564
274.7508,-248.4112,276.694,602946.7977
287.746,-249.9972,275.0915,602950.824
302.9869,-252.4621,272.7507,602954.7068
314.6393,-254.1627,274.3446,602958.6432
328.0396,-256.2416,272.4586,602962.636
341.9763,-258.781,270.5016,602966.577
354.1503,-260.8387,272.0115,602970.5005
367.5623,-263.1373,269.9097,602974.4596
380.8944,-265.008,266.2427,602978.3628
395.4698,-267.8775,258.2763,602982.5818
408.2163,-269.7772,258.0377,602986.4416
420.5815,-271.5636,259.0938,602990.2404
434.6287,-274.1315,251.7905,602994.3012
446.7444,-276.2433,252.1558,602998.1898
460.9075,-279.1822,245.3698,603002.1568
473.5861,-281.0393,243.3722,603006.0944
485.6595,-282.7997,242.9854,603009.982
498.6136,-284.8203,240.0574,603013.979
512.8148,-287.6514,232.0865,603018.1138
524.8858,-289.4908,230.3559,603021.8507
536.6564,-291.7568,230.1499,603025.8247
549.4519,-294.2934,226.2816,603029.8741
561.2437,-295.5032,224.7429,603033.7121
575.0032,-298.3109,217.0137,603037.6694
589.6456,-301.2473,207.2393,603041.6654
600.5275,-302.7024,207.8608,603045.5474
613.3799,-305.0251,202.6396,603049.4955
627.1205,-308.255,194.187,603053.603
638.5916,-310.987,191.3894,603057.529
652.9308,-312.6124,182.3646,603061.38
663.7205,-314.131,181.7672,603065.3914
676.311,-316.5881,175.1273,603069.1822
689.4793,-319.0386,167.962,603073.4367
702.1064,-321.2367,161.5051,603077.1109
713.3188,-323.0629,158.6241,603081.0102
727.6464,-327.3902,147.0986,603085.0383
739.4201,-328.5908,142.3906,603088.9229
751.5034,-330.5363,135.7631,603093.006
764.5179,-332.953,128.0008,603096.9518
773.7526,-334.4658,128.827,603100.7732
787.6873,-337.1353,117.6438,603104.7972
800.2304,-339.7064,109.5433,603108.833
812.2512,-342.5948,102.5669,603112.6148
825.407,-344.5716,92.7177,603116.6596
828.7086,-344.0489,105.9209,603120.6852
847.5499,-348.3803,82.234,603124.5685
856.052,-349.2885,83.1069,603128.5203
871.5699,-352.9989,66.6864,603132.421
885.0767,-356.166,55.469,603136.3319
893.768,-357.4468,54.4588,603140.3846
908.6764,-359.4258,39.3169,603144.423
917.6961,-361.5862,36.2751,603148.1832
931.6817,-363.9673,23.0834,603152.2644
944.4338,-367.0244,12.9537,603156.4314
956.7628,-369.5998,3.3353,603160.1378
976.0534,-373.1782,-6.1317,603164.1002
986.6661,-375.1656,8.6783,603168.0018
998.7513,-377.3529,19.0926,603171.913
1008.6666,-377.6814,33.7934,603176.0168
1028.6681,-381.3946,28.329,603179.773
1043.3173,-383.4373,33.0508,603183.7922
1052.98,-383.8436,48.4197,603187.7581
1067.4194,-385.765,54.5745,603191.7502
1086.0296,-389.3184,51.3827,603195.8748
1092.4357,-389.3954,72.1333,603199.8012
